,sleeping,laying down,sitting,light movement,medium movement,heavy activity,eating,small screen,large screen,caffeinated drink,smoking,alcohol
user_5,0.0,300.0,50.0,0.0,0.0,110.0,135.0,0.0,10.0,0.0,0.0,0.0
user_2,0.0,34.0,81.0,17.0,0.0,52.0,160.0,30.0,2.0,0.0,0.0,0.0
user_3,45.0,80.0,330.0,10.0,55.0,45.0,25.0,0.0,15.0,0.0,0.0,0.0
user_4,0.0,150.0,0.0,0.0,0.0,110.0,235.0,120.0,10.0,0.0,0.0,0.0
user_22,0.0,0.0,490.0,0.0,0.0,80.0,120.0,0.0,0.0,0.0,10.0,0.0
user_14,46.0,105.0,79.0,0.0,0.0,50.0,517.0,118.0,0.0,0.0,0.0,5.0
user_13,0.0,180.0,420.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
user_12,55.0,295.0,70.0,0.0,0.0,90.0,190.0,70.0,35.0,0.0,0.0,5.0
user_15,0.0,0.0,360.0,0.0,120.0,70.0,0.0,0.0,30.0,0.0,0.0,10.0
user_1,0.0,257.0,50.0,10.0,10.0,130.0,60.0,45.0,13.0,50.0,0.0,0.0
user_6,0.0,199.0,60.0,0.0,15.0,95.0,167.0,68.0,2.0,0.0,0.0,0.0
user_8,0.0,1470.0,370.0,0.0,75.0,65.0,0.0,55.0,25.0,0.0,0.0,0.0
user_9,0.0,10.0,1340.0,0.0,60.0,120.0,360.0,90.0,0.0,0.0,0.0,10.0
user_7,0.0,155.0,360.0,0.0,0.0,180.0,0.0,120.0,0.0,0.0,0.0,5.0
user_21,0.0,1240.0,25.0,0.0,0.0,70.0,0.0,0.0,30.0,0.0,0.0,0.0
user_19,45.0,110.0,245.0,0.0,0.0,95.0,130.0,65.0,0.0,0.0,0.0,5.0
user_10,0.0,100.0,300.0,40.0,0.0,80.0,215.0,0.0,15.0,15.0,13.0,0.0
user_17,0.0,1.0,382.0,0.0,70.0,94.0,0.0,95.0,40.0,0.0,0.0,0.0
user_16,40.0,160.0,335.0,0.0,0.0,60.0,0.0,120.0,30.0,0.0,0.0,10.0
user_11,0.0,120.0,456.0,0.0,0.0,55.0,41.0,0.0,14.0,0.0,0.0,0.0
user_18,0.0,250.0,0.0,0.0,0.0,25.0,470.0,0.0,0.0,0.0,60.0,0.0
user_20,0.0,0.0,0.0,0.0,15.0,77.0,210.0,120.0,43.0,0.0,45.0,0.0
